ID_Temps;ID_Scenario;ID_Section;ID_Produit;Qte_Importee;MD_Importee;Qte_Vendue;MD_Vendue;Qte_Stock_Fin;MD_Stock_Fin;Prix_Achat_Import;Prix_Vente_Import
1;3;4;8;143030.218;265241251.478;143404.818;43559007.336;0.2;109.999;1854.442;303.749
1;3;4;9;860364.866;2258449052.7390003;854055.022;1715040896.678;38765.829;77675617.082;2624.99;2008.115
1;3;4;11;1528921.06;3606503721.8789997;1476322.579;2586204866.7650003;53375.756;76748971.18599999;2358.855;1751.788
1;3;4;18;121204.934;187069179.39;121204.934;103019709.317;0.0;0.0;1543.412;849.963
1;3;4;16;485292.919;910763104.011;485292.919;141363287.959;0.0;0.0;1876.729;291.295
1;3;4;17;256379.924;676824165.575;256379.924;689141635.851;0.0;0.0;2639.927;2687.97
2;1;4;8;155500.0;319323863.155;155500.0;46334602.688;297.452;160067.94100000002;2053.53;297.972
2;1;4;9;732486.0;1853911719.635;742520.0;1491497492.611;19689.256;39549744.055;2530.986;2008.697
2;1;4;11;1430000.0;3375658542.3;1430000.0;2504850954.606;3790.0;6666815.37;2360.6;1751.644
2;1;4;18;120000.0;157567753.2;120000.0;101995560.0;0.0;0.0;1313.065;849.963
2;1;4;16;457800.0;942754755.778;457800.0;110129741.4;0.0;0.0;2059.316;240.563
2;1;4;17;250000.0;631448138.75;250000.0;645204201.25;0.0;0.0;2525.793;2580.817
2;2;4;8;161996.824;300860269.224;162443.227;48720787.147;19754.904;4752361.087;1857.199;299.925
2;2;4;9;882914.359;1929149010.166;880000.0;1766375497.571;41680.187999999995;83674800.552;2184.979;2007.245
2;2;4;11;1855566.036;3825250619.145;1889266.7580000001;3310693553.733;19675.114999999998;34631164.732999995;2061.501;1752.37
2;2;4;18;150000.0;203035204.178;150000.0;127494450.0;0.199;0.0;1353.568;849.963
2;2;4;16;471762.539;883043764.863;471762.539;113488611.669;92141.785;22165904.16;1871.797;240.563
2;2;4;17;290216.08;639308160.217;290216.08;640249734.612;0.0;0.0;2202.87;2206.114
2;3;4;8;108441.239;204634583.181;108441.43800000001;31089831.141;0.001;0.0;1887.055;286.697
2;3;4;9;639700.5769999999;1430126196.827;627419.59;1259309276.324;51046.816;102478715.969;2235.618;2007.125
2;3;4;11;1330308.0729999999;2799198669.2460003;1374013.497;2409534643.848;22813.035;16994049.83;2104.173;1753.647
2;3;4;18;104859.919;147441057.792;104859.919;89127051.333;0.0;0.0;1406.076;849.963
2;3;4;16;363280.934;689464968.5139999;363280.934;87391951.326;0.0;0.0;1897.884;240.563
2;3;4;17;218640.504;493323954.419;218640.444;490350638.923;0.0;0.0;2256.325;2242.726
3;1;4;8;218305.60700000002;216274448.693;104659.164;39900917.646;19754.904;4752361.022;990.696;381.246
3;1;4;9;880420.0;1706763844.829;895420.0;1797594816.7519999;26680.53;52410226.568;1938.579;2007.544
3;1;4;11;1892828.0;3495875865.439;1893000.0;3313329898.071;19503.353;34328837.752;1846.906;1750.306
3;1;4;18;150000.0;174541645.544;150000.0;127494450.0;19675.115;0.0;1163.611;849.963
3;1;4;16;485000.0;817563873.099;485000.0;116673055.0;173252.191;41678066.934;1685.699;240.563
3;1;4;17;278000.0;535636650.536;278000.0;550850200.536;0.0;0.0;1926.751;1981.476
